operation,category,summary,implementation,sessionChange,validation,pending,priority,codeReferences
POST /instance/create,Admininstração,Criar Instancia,Backend integrado (escopo parcial),Existente; contrato de criação e validação de identidade corrigidos.,Sem criação real homologada nesta sessão.,"Criação completa + credenciais + UI, na etapa de lifecycle.",P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
GET /instance/all,Admininstração,Listar todas as instâncias,Backend integrado (escopo parcial),Existente; monitor preservado.,Usado na identificação operacional; sem homologação administrativa completa.,Paginação/permissões administrativas em cenários adicionais.,P1 — concluir homologação CRM,supabase/functions/whatsapp-session-watchdog/index.ts; supabase/functions/_shared/uazapi-client.ts
POST /instance/connect,Instancia,Conectar instância ao WhatsApp,Backend integrado (escopo parcial),"Existente; criação separada da conexão, proxy regional preservado.","Leo: chamada aceita, QR gerado; pareamento NÃO confirmado.",Reconexão completa por último na TorqueSDR.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /instance/disconnect,Instancia,Desconectar instância,Backend integrado (escopo parcial),"Existente, preservado.",Leo: desconexão real confirmada.,Fluxo completo na TorqueSDR adiado pelo usuário.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /instance/reset,Instancia,Reiniciar runtime da instância,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — administração restrita,
GET /instance/status,Instancia,Verificar status da instância,Backend integrado (escopo parcial),Normalização de estados desconhecidos/hibernação corrigida.,Consulta real; distingue connected/disconnected.,Cobrir transições durante reconexão final.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
GET /instance/wa_messages_limits,Instancia,Consultar limites atuais de novas conversas no WhatsApp,Backend integrado (escopo parcial),Quota desconhecida preservada como null; bloqueio explícito respeitado.,Sondagem real + testes de contratos nullable.,Limites reais sob volume representativo.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /instance/updateFieldsMap,CRM,Atualizar campos personalizados de leads,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /instance/updateInstanceName,Instancia,Atualizar nome da instância,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /instance/updateAdminFields,Admininstração,Atualizar campos administrativos,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
GET /instance/proxy,Proxy,Obter configuração de proxy da instância,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /instance/proxy,Proxy,Configurar ou alterar o proxy,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
