"Issue ID","Parent ID","Project Key","Issue Type","Summary","Status","Description","Labels","Labels","Labels","Labels"
"1","","TOR","Epic","Leads & Negócios — o Negócio vira a unidade do funil","Fazendo","Feature guarda-chuva: separação Lead↔Negócio (fatias 1 e 2), aba de Leads (L4), redesenho da aba de Funis e Carteira virando recompra. ADR-0023 e ADR-0024.","leads-negocios","inv:EPIC","",""
"101","1","TOR","Story","Fatia 1 — separação Lead↔Negócio na interface","","","fatia-1","frontend","inv:H1",""
"102","101","TOR","Sub-task","Protótipo clicável do redesenho da aba de Funis","Concluído","PR #1313 · .specs/mockups/funis-redesign/ — artefato de design, sem lado de produção","fatia-1","frontend","inv:H1-01",""
"103","101","TOR","Sub-task","Lista de Leads vira cartões com cluster de carteira","Testando","56b17831 · PR #1315 · useLeadsCarteiraMetrics lê upsell_clients — sem teste automatizado","fatia-1","frontend","status:testar","inv:H1-02"
"104","101","TOR","Sub-task","Leads sobe pra topbar; Combustível e Carteira saem do menu","Testando","dd264db6 · PR #1315 — /upsell segue viva por link direto","fatia-1","frontend","status:testar","inv:H1-03"
"105","101","TOR","Sub-task","Aba Leads ganha a coluna Negócios (useLeadsDeals)","Testando","eca2ff36 · PR #1315 — valor, etapa, estado e tempo parado por negócio","fatia-1","frontend","status:testado","inv:H1-04"
"106","101","TOR","Sub-task","Card do funil abre o Negócio; modal do Lead num lugar só","Testando","16e410ae · PR #1315 — DealDetailDialog + 7 telas navegam para /leads?lead=<id>","fatia-1","frontend","status:testado","inv:H1-05"
"107","101","TOR","Sub-task","Action pills dentro do modal do Negócio","Testando","e6d5ac0b · PR #1315 — dealPills(); funil custom sem pill por trava de schema","fatia-1","frontend","status:testado","inv:H1-06"
"108","101","TOR","Sub-task","assertMemberInOrg — recusa dono de outra organização ao abrir negócio","Testando","dbdf3411 · achado do /security-rubric no próprio diff","fatia-1","frontend","status:testar","inv:H1-07"
"109","101","TOR","Sub-task","""Novo negócio"" vira a única porta de criação na interface","Testando","PR #1315 — modal só oferece campo com casa no banco","fatia-1","frontend","status:testado","inv:H1-08"
"110","1","TOR","Story","Redesenho da aba de Funis","","","funis-redesign","frontend","inv:H2",""
"111","110","TOR","Sub-task","FunnelControlBar — faixa única de controles (Modelo 1) na Qualificação","Testando","2375d9f1 · PR #1315 — cinco fileiras viram uma","funis-redesign","frontend","status:testar","inv:H2-01"
"112","110","TOR","Sub-task","FunnelSwitcher + funnel-nav.ts — nome do funil vira a porta pros outros","Testando","2375d9f1 — Estruturais / Customizados / Com prazo","funis-redesign","frontend","status:testar","inv:H2-02"
"113","110","TOR","Sub-task","Faixa enxugada aos seis controles; coluna vira superfície de 292px","Testando","e61f5514 — rodapé ""+ Novo negócio"" que de fato cria (o ""+"" não tinha handler)","funis-redesign","frontend","status:testar","inv:H2-03"
"114","110","TOR","Sub-task","Faixa única propagada aos quatro funis","Testando","823dfb63 · PR #1316","funis-redesign","frontend","status:testado","inv:H2-04"
"115","110","TOR","Sub-task","FunnelViewsMenu — alternador de visão dentro de Visualizações","Testando","823dfb63 — zero teste referencia o componente","funis-redesign","frontend","status:testar","inv:H2-05"
"116","110","TOR","Sub-task","Filtro ""Criados no período"" vira seção do painel de Filtros","Testando","823dfb63 — saiu do menu de três pontinhos","funis-redesign","frontend","status:testar","inv:H2-06"
"117","110","TOR","Sub-task","Faixa de tempo da reunião (Confirmação) vira seção do painel","Testando","823dfb63","funis-redesign","frontend","status:testar","inv:H2-07"
"118","110","TOR","Sub-task","Filtro ""Parado há"" no funil customizado","Testando","823dfb63 — único funil onde já está ligado","funis-redesign","frontend","status:testado","inv:H2-08"
"119","110","TOR","Sub-task","Filtro ""Parado há"" nos três funis do sistema — construído e desligado","Testando","flag STALLED_FILTER_ENABLED_FOR_SYSTEM_PIPES=false até a migration ir a prod","funis-redesign","frontend","status:testado","inv:H2-09"
"120","110","TOR","Sub-task","Ordenação por coluna no Kanban com aviso de ordenação parcial","Testando","823dfb63 — avisa quando a coluna tem mais gente que a página","funis-redesign","frontend","status:testado","inv:H2-10"
"121","110","TOR","Sub-task","metrics-period tolera data serializada","Testando","823dfb63","funis-redesign","frontend","status:testado","inv:H2-11"
"122","110","TOR","Sub-task","LeadCardCompact — card compacto do protótipo nos quatro funis","Testando","067f5f0a · PR #1318 — 262,6px → 98,8px medido em 1440x900","funis-redesign","frontend","status:testar","inv:H2-12"
"123","1","TOR","Story","Fatia 2 — banco: o Negócio vira a unidade do funil","","","fatia-2","banco","inv:H3",""
"124","123","TOR","Sub-task","M1 · 20270730000050 — derruba os TRÊS cadeados e destrava a recompra","Testando","provado em branch efêmera — ponto de não-retorno da feature","fatia-2","banco","status:testado","inv:H3-01"
"125","123","TOR","Sub-task","20270730000010 — RLS de deals com escopo multi-org e ramo de master","Testando","reprovada em duas revisões antes de fechar","fatia-2","banco","status:testado","inv:H3-02"
